id,RA_C,DEC_C,RA_M,DEC_M,DIF,MAG_R,MAG_V,MAG_B,MAG_err,CMAG_R,CMAG_V,CMAG_B,DATETIME,IMGNAME
643-094286,306.15079300000002,38.443072800000003,306.15086656148151,38.443092049776808,0.219,---,---,12.317725233294782,0.00062373289789324608,---,---,12.265999794006348,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094162,305.97926330000001,38.466352000000001,305.97941059994417,38.466336942592996,0.41899999999999998,---,---,10.094085841803089,0.00033313889378662535,---,---,10.163000106811523,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094068,305.89056649999998,38.458473400000003,305.89064052152725,38.458407649804116,0.316,---,---,12.593804525941625,0.00026492136864498828,---,---,12.605999946594238,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094261,306.10511059999999,38.485246400000001,306.10514412699752,38.485294237888553,0.19600000000000001,---,---,10.369109609599988,0.00038908762727388971,---,---,10.309000015258789,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094105,305.92853769999999,38.475976199999998,305.92860778791976,38.475942733717801,0.23100000000000001,---,---,12.709797828905042,0.0002765901139763145,---,---,12.53600025177002,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094113,305.93933240000001,38.476383400000003,305.93923574538212,38.476187860225032,0.755,---,---,13.447914847475152,0.0003570073537910492,---,---,12.918999671936035,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
nan,nan,nan,305.93915427798174,38.476429014277358,nan,---,---,13.883903611857448,0.001113957105087794,---,---,nan,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094203,306.02728089999999,38.492551200000001,306.02739019003951,38.49256704570039,0.313,---,---,9.7682781850709262,0.0013272308446786265,---,---,9.8920001983642578,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094163,305.97948680000002,38.485575900000001,305.97943660141118,38.485516161814949,0.25700000000000001,---,---,12.246215464794094,0.00023918692133643752,---,---,12.270999908447266,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094143,305.96252529999998,38.492860899999997,305.96258005649094,38.492824446917119,0.20300000000000001,---,---,8.976592147708736,0.0003631888263574772,---,---,9.369999885559082,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094038,305.86611620000002,38.4835037,305.86622108401048,38.483420982730237,0.41999999999999998,---,---,13.369578479107302,0.00018754664124535499,---,---,12.996000289916992,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
nan,nan,nan,305.86702802982421,38.512940070618356,nan,---,---,15.249417557956782,0.001021757206317218,---,---,nan,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
nan,nan,nan,306.04445074479446,38.497106671347836,nan,---,---,11.649465198737417,0.0015283227058209934,---,---,nan,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094187,306.00541120000003,38.5137687,306.00550381610202,38.513814925018714,0.309,---,---,9.6797136786690245,0.00055531199078540029,---,---,9.7899999618530273,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
643-094279,306.13654450000001,38.510809799999997,306.1365315575419,38.510889489665182,0.28899999999999998,---,---,10.818615139229532,0.0023935000150972622,---,---,10.772000312805176,2018-06-25 02:37:58.926000,M 29_Light_B_20180625_00000246.fits
